,HVA_adam
0,-15.915942736377389
1,-15.915942736501416
2,-15.915942735274118
3,-16.036534906782713
4,-16.036534906897813
5,-16.036534905713122
6,-16.152785668178023
7,-16.152785668284466
8,-16.152785667141746
9,-16.26468582834085
10,-16.26468582843901
11,-16.264685827337573
12,-16.372241945797132
13,-16.372241945887314
14,-16.37224194482642
15,-16.475475407536134
16,-16.475475407618728
17,-16.475475406597592
18,-16.57442157468157
19,-16.574421574756915
20,-16.574421573774757
21,-16.669128303298475
22,-16.66912830336696
23,-16.669128302422898
24,-16.759655092400298
25,-16.759655092462257
26,-16.759655091555306
27,-16.846071974298273
28,-16.846071974354142
29,-16.846071973483397
30,-16.92845734627436
31,-16.928457346324606
32,-16.928457345488987
33,-17.00689727019336
34,-17.006897270238333
35,-17.006897269436994
36,-17.08148240582406
37,-17.08148240586404
38,-17.081482405096132
39,-17.152306896457027
40,-17.15230689649254
41,-17.152306895756944
42,-17.219468412673294
43,-17.219468412704636
44,-17.219468412000577
45,-17.283065059829013
46,-17.28306505985657
47,-17.2830650591832
48,-17.343194945440075
49,-17.343194945464163
50,-17.34319494482072
51,-17.399955208449605
52,-17.399955208470548
53,-17.39995520785625
54,-17.45344170349798
55,-17.45344170351608
56,-17.453441702930157
57,-17.503748811151183
58,-17.50374881116676
59,-17.50374881060856
60,-17.550968665716603
61,-17.550968665729975
62,-17.550968665198805
63,-17.59519163152496
64,-17.59519163153627
65,-17.595191631031657
66,-17.636506080056943
67,-17.636506080066543
68,-17.636506079587747
69,-17.67499965708756
70,-17.674999657095626
71,-17.674999656642232
72,-17.71075868882592
73,-17.710758688832595
74,-17.71075868840414
75,-17.743869326834407
76,-17.74386932683992
77,-17.743869326435917
78,-17.77441806094813
79,-17.774418060952726
80,-17.77441806057265
81,-17.80249242623153
82,-17.80249242623527
83,-17.802492425878675
84,-17.828181907559088
85,-17.828181907562072
86,-17.82818190722863
87,-17.85157777058915
88,-17.851577770591547
89,-17.851577770280652
90,-17.872774404200957
91,-17.872774404202815
92,-17.872774403914196
93,-17.891868619984507
94,-17.891868619985935
95,-17.89186861971899
96,-17.90896090440054
97,-17.908960904401688
98,-17.908960904155936
99,-17.924154709372637
100,-17.92415470937346
101,-17.92415470914846
102,-17.937556789090824
103,-17.93755678909147
104,-17.937556788886667
105,-17.949276635385036
106,-17.949276635385488
107,-17.94927663520031
108,-17.959426524476527
