,HVA_spsa
0,-16.838720445427555
1,-16.986186806993175
2,-17.470951792483213
3,-17.343277231507535
4,-17.702409338314634
5,-17.782936014514835
6,-17.909265540796394
7,-17.852141472056335
8,-17.92949157392763
9,-17.966871892067125
10,-17.989260509600506
11,-17.964847239294055
12,-17.997274784686777
13,-17.981405469950136
14,-17.999652028870607
15,-17.98939289370104
16,-17.993363318079957
17,-17.999990427790394
18,-17.999705335776586
19,-17.995444134022268
20,-17.99931229071953
21,-17.996576894435968
22,-17.99722050533893
23,-17.99897350222507
24,-17.998720218362983
25,-17.997595860184322
26,-17.997823128391534
27,-17.998543218265706
28,-17.997963577242846
29,-17.998424353061587
30,-17.998050448621196
31,-17.998345524970194
32,-17.99829403040713
33,-17.998105090423664
34,-17.998139672118878
35,-17.998260642230626
36,-17.998160960292513
37,-17.998238458737802
38,-17.998224574597472
39,-17.998174980400016
40,-17.998183924349053
41,-17.9982156608866
42,-17.99818963631337
43,-17.998209945022882
44,-17.998206935982232
45,-17.99819395523676
46,-17.9981956177025
47,-17.998203940029533
48,-17.998197777939122
49,-17.998203092651487
50,-17.998201477166226
51,-17.998198065134364
52,-17.998198677275674
53,-17.998200860641575
54,-17.99820046607056
55,-17.998199068931697
56,-17.998200213561187
57,-17.998199319530745
58,-17.99820005197082
59,-17.998199479880142
60,-17.998200247438927
61,-17.99820060546983
62,-17.998199646683148
63,-17.998199883861254
64,-17.998199689219224
65,-17.99819984098955
66,-17.99819981355566
67,-17.998199716437757
68,-17.99820045298847
69,-17.99820039872562
70,-17.998199786193844
71,-17.99819974358448
72,-17.99820043548904
73,-17.998200416087105
74,-17.998199774985228
75,-17.998199754704796
76,-17.998200428320555
77,-17.998200423199044
78,-17.998199770393622
79,-17.998199759260206
80,-17.998200426112362
81,-17.99820042538409
82,-17.998200425981842
83,-17.9982004255156
84,-17.998199768597065
85,-17.99819976104269
86,-17.998199762397377
87,-17.998199767231533
88,-17.998200423361688
89,-17.998200428118842
90,-17.998199767217397
91,-17.998199762411403
92,-17.998199763273362
93,-17.99819976634873
94,-17.99820042279708
95,-17.998200428678963
96,-17.998200427624923
97,-17.99820042385959
98,-17.99819976209504
99,-17.99819976753635
100,-17.99820042355659
101,-17.998200427925433
102,-17.998200427142525
103,-17.998200424345853
104,-17.998200426641347
105,-17.99820042485094
106,-17.998200426320473
107,-17.998200425174325
108,-17.99820042611508
109,-17.998200425381363
110,-17.99819976112792
111,-17.998199768511085
112,-17.998200424180006
113,-17.998200427306962
114,-17.998199767741642
115,-17.998199761891367
116,-17.998199766684127
117,-17.99819976294055
118,-17.99820042846614
119,-17.998200423011575
120,-17.998200423996874
121,-17.99820042748867
122,-17.998200426862866
123,-17.99820042462759
124,-17.99820042646233
125,-17.998200425031328
126,-17.99819976135039
127,-17.998199768286938
128,-17.998199762594417
129,-17.99819976703306
130,-17.998199763390367
131,-17.99819976623075
132,-17.998200422721577
133,-17.998200428753826
134,-17.998199762818196
135,-17.998199766807502
136,-17.998199763533616
137,-17.99819976608633
138,-17.998199763991376
139,-17.998199765624896
140,-17.998199765329687
141,-17.99819976428437
142,-17.998200422145363
143,-17.998200429325586
144,-17.998200423442345
145,-17.99820042803885
146,-17.998199767269053
147,-17.99819976236018
148,-17.99820042338575
149,-17.998200428095025
150,-17.998200424236323
151,-17.99820042725109
152,-17.9982004247809
153,-17.9982004267108
154,-17.99819976150961
155,-17.9981997681265
156,-17.99820042755095
157,-17.998200423934104
158,-17.99820042458734
159,-17.99820042690279
160,-17.998199761632545
161,-17.998199768002536
162,-17.99819976685115
163,-17.998199762774956
164,-17.99820042311835
165,-17.998200428360224
166,-17.998200424065185
167,-17.99820042742088
168,-17.998199761964365
169,-17.998199767668122
170,-17.998199766637132
171,-17.99819976298724
172,-17.998200428496034
173,-17.998200422981515
174,-17.99820042750779
175,-17.998200423977615
176,-17.998200426875204
177,-17.998200424615195
178,-17.998199768020402
179,-17.99819976161485
180,-17.998199762763612
181,-17.998199766862513
182,-17.998200423125688
183,-17.998200428352927
184,-17.998199762561494
185,-17.99819976706634
186,-17.998200423256076
187,-17.998200428223637
188,-17.99820042733348
189,-17.998200424153314
190,-17.998199761908346
191,-17.998199767724557
192,-17.998199762951458
193,-17.998199766673206
194,-17.998199766000507
195,-17.998199763618896
196,-17.99819976557
197,-17.998199764045996
198,-17.99820042917313
199,-17.998200422299032
200,-17.99999999294364
