,RVB_adam
0,-17.32888526135138
1,-17.32888526127896
2,-17.328885261299604
3,-17.32888526134505
4,-17.32888526134262
5,-17.32888526129159
6,-17.328885261254285
7,-17.32888526132656
8,-17.328885261342847
9,-17.32888526134533
10,-17.32888526135028
11,-17.328885261340215
12,-17.32888526133786
13,-17.36428246666738
14,-17.36428246659728
15,-17.364282466617624
16,-17.36428246666155
17,-17.364282466659233
18,-17.364282466609453
19,-17.36428246657225
20,-17.36428246664419
21,-17.364282466660548
22,-17.364282466661724
23,-17.364282466666392
24,-17.364282466656913
25,-17.36428246665474
26,-17.398167688440644
27,-17.398167688372844
28,-17.3981676883929
29,-17.39816768843533
30,-17.398167688433098
31,-17.39816768838458
32,-17.398167688347453
33,-17.39816768841914
34,-17.398167688435514
35,-17.398167688435397
36,-17.39816768843982
37,-17.39816768843086
38,-17.398167688428863
39,-17.43054913276981
40,-17.43054913270427
41,-17.430549132724032
42,-17.430549132764963
43,-17.430549132762824
44,-17.43054913271557
45,-17.430549132678532
46,-17.430549132749928
47,-17.430549132766256
48,-17.430549132764895
49,-17.43054913276909
50,-17.430549132760657
51,-17.43054913275883
52,-17.461447934728895
53,-17.46144793466556
54,-17.46144793468506
55,-17.461447934724497
56,-17.461447934722433
57,-17.461447934676453
58,-17.461447934639498
59,-17.461447934710602
60,-17.461447934726838
61,-17.461447934724333
62,-17.461447934728266
63,-17.461447934720372
64,-17.461447934718695
65,-17.490896951208647
66,-17.490896951147516
67,-17.490896951166718
68,-17.49089695120466
69,-17.490896951202703
70,-17.49089695115799
71,-17.490896951121115
72,-17.49089695119194
73,-17.490896951208022
74,-17.490896951204423
75,-17.490896951208114
76,-17.49089695120072
77,-17.4908969511992
78,-17.518942609658644
79,-17.518942609599662
80,-17.518942609618584
81,-17.51894260965505
82,-17.518942609653184
83,-17.518942609609734
84,-17.518942609572925
85,-17.518942609643467
86,-17.51894260965924
87,-17.51894260965472
88,-17.51894260965819
89,-17.518942609651276
90,-17.518942609649915
91,-17.545645821286946
92,-17.545645821230075
93,-17.545645821248737
94,-17.545645821283713
95,-17.54564582128193
96,-17.545645821239756
97,-17.545645821203024
98,-17.545645821273297
99,-17.54564582128859
100,-17.54564582128331
101,-17.54564582128655
102,-17.54564582128011
103,-17.545645821278892
104,-17.57107434745025
105,-17.57107434739545
106,-17.57107434741385
107,-17.571074347447354
108,-17.57107434744566
109,-17.571074347404775
110,-17.5710743473681
111,-17.571074347438085
112,-17.571074347452708
113,-17.571074347446892
114,-17.571074347449937
115,-17.571074347443933
116,-17.571074347442842
117,-17.59529309024762
118,-17.59529309019484
119,-17.595293090212994
120,-17.595293090245043
121,-17.595293090243448
122,-17.595293090203814
123,-17.59529309016719
124,-17.595293090236897
125,-17.595293090250593
126,-17.59529309024452
127,-17.595293090247342
128,-17.595293090241785
129,-17.595293090240823
130,-17.618356416929707
131,-17.61835641687892
132,-17.61835641689682
133,-17.61835641692742
134,-17.61835641692591
135,-17.618356416887544
136,-17.618356416850972
137,-17.61835641692039
138,-17.618356416932993
139,-17.61835641692686
140,-17.61835641692948
141,-17.61835641692433
142,-17.61835641692348
143,-17.640306354038966
144,-17.64030635399012
145,-17.64030635400776
146,-17.64030635403694
147,-17.640306354035513
148,-17.640306353998408
149,-17.640306353961897
150,-17.640306354031004
151,-17.640306354042337
152,-17.640306354036344
153,-17.640306354038774
154,-17.640306354034017
155,-17.640306354033275
156,-17.661175214671424
157,-17.661175214624464
158,-17.66117521464187
159,-17.661175214669626
160,-17.661175214668276
161,-17.661175214632454
162,-17.661175214595985
163,-17.66117521466479
164,-17.66117521467466
165,-17.661175214669033
166,-17.661175214671267
167,-17.661175214666887
168,-17.66117521466624
169,-17.680989514965653
170,-17.68098951492056
171,-17.680989514937735
172,-17.680989514964097
173,-17.68098951496282
174,-17.680989514928232
175,-17.680989514891813
176,-17.680989514960256
177,-17.68098951496862
178,-17.68098951496348
179,-17.68098951496554
180,-17.68098951496149
181,-17.680989514960928
182,-17.699774852755155
183,-17.699774852711876
184,-17.69977485272881
185,-17.699774852753798
186,-17.6997748527526
187,-17.69977485271926
188,-17.69977485268289
189,-17.699774852750952
190,-17.699774852757717
191,-17.69977485275316
192,-17.69977485275507
193,-17.699774852751357
194,-17.699774852750874
195,-17.71755896155151
196,-17.71755896150999
197,-17.717558961526713
198,-17.717558961550324
199,-17.71755896154921
200,-17.71755896151712
201,-17.717558961480805
202,-17.717558961548477
203,-17.717558961553593
204,-17.71755896154971
205,-17.717558961551457
206,-17.717558961548047
207,-17.71755896154764
208,-17.734373052046276
209,-17.73437305200648
210,-17.734373052022978
