,RVB_spsa
0,-16.412076835878537
1,-16.490579792209306
2,-16.59722360455259
3,-16.5999304587865
4,-16.61216005871408
5,-16.585104076477514
6,-16.657149194620423
7,-16.574430818020662
8,-16.757992843144425
9,-16.794200208118813
10,-16.857350392569305
11,-16.75665427851773
12,-17.044881059533015
13,-17.04460053942597
14,-17.01518370354251
15,-17.074450143393143
16,-17.121729686431387
17,-17.135819240381675
18,-17.105887533553037
19,-17.16127466287657
20,-17.21893161631989
21,-17.195145415440894
22,-17.20985017780666
23,-17.230889366287933
24,-17.236922095300994
25,-17.224814501532126
26,-17.22797365905895
27,-17.24070576209355
28,-17.220144719814765
29,-17.256168153979804
30,-17.250149459035896
31,-17.28766570922395
32,-17.33043744782642
33,-17.274517955851998
34,-17.392825756167824
35,-17.361240292715326
36,-17.3919138305009
37,-17.40900563361427
38,-17.40911016708603
39,-17.40575778934161
40,-17.382304375814613
41,-17.432644861969784
42,-17.46729316028418
43,-17.465826397199244
44,-17.466363780887416
45,-17.466645449480573
46,-17.440657504283344
47,-17.492410804215485
48,-17.55107608489393
49,-17.509179143548593
50,-17.592048657832155
51,-17.551825521303446
52,-17.63345777383064
53,-17.586527126896733
54,-17.649993038091758
55,-17.67458608794048
56,-17.66499865793305
57,-17.688313399419783
58,-17.67398148239123
59,-17.704882203150042
60,-17.714521642022877
61,-17.70940071109463
62,-17.730005944990758
63,-17.69503717158471
64,-17.736202174414487
65,-17.746751378280987
66,-17.736692476476986
67,-17.751459333723897
68,-17.736982773365455
69,-17.76152645688961
70,-17.764292540525155
71,-17.762671134702227
72,-17.75511856567439
73,-17.77198582304243
74,-17.77741391488017
75,-17.76306870904495
76,-17.768482555704523
77,-17.78171650785674
78,-17.788754550875122
79,-17.76966267692821
80,-17.77859926850724
81,-17.796938227547948
82,-17.790691211286944
83,-17.800746147428594
84,-17.814405524689455
85,-17.781816318538198
86,-17.817890675615843
87,-17.82847605269744
88,-17.820378867013705
89,-17.831454610955312
90,-17.828560341510418
91,-17.829066054942935
92,-17.8327538189233
93,-17.824786841838446
94,-17.815510854042603
95,-17.84507945856426
96,-17.853693535922073
97,-17.84833664448666
98,-17.845281927571236
99,-17.85809399638591
100,-17.860702718980882
101,-17.850282303630237
102,-17.8648755185836
103,-17.851355754579913
104,-17.856959931459382
105,-17.867954876466335
106,-17.864276015070367
107,-17.866457356620792
108,-17.87387513076428
109,-17.85697356902474
110,-17.865790636748855
111,-17.878624836532165
112,-17.874786987820745
113,-17.87735655545811
114,-17.87070764535537
115,-17.881867251195448
116,-17.877779827426036
117,-17.88068757358438
118,-17.880314278684132
119,-17.878618029624676
120,-17.86640004900672
121,-17.89260388109597
122,-17.89746465572028
123,-17.89418290758085
124,-17.893890377505482
125,-17.89818445892928
126,-17.904329768250186
127,-17.888564528669452
128,-17.904287372213037
129,-17.900288668559828
130,-17.89801090086471
131,-17.907450828148278
132,-17.89841415769928
133,-17.91121633944255
134,-17.91499548553485
135,-17.902508759195126
136,-17.917643094045903
137,-17.90721797042819
138,-17.921048079805328
139,-17.908929899853586
140,-17.913507305787903
141,-17.92351317429341
142,-17.923774948387713
143,-17.917868351502694
144,-17.926425475188086
145,-17.916861458671985
146,-17.928695367567357
147,-17.918938191013652
148,-17.92016942384503
149,-17.932042499127935
150,-17.925374892142216
151,-17.93344291629499
152,-17.929442519083526
153,-17.932455592459856
154,-17.92677147846215
155,-17.93568208337412
156,-17.93718748309924
157,-17.92903831294027
158,-17.928526218233053
159,-17.9407619709458
160,-17.940649030538022
161,-17.93574108711445
162,-17.938446303899802
163,-17.939052894056168
164,-17.937641652208846
165,-17.939840130892485
166,-17.9406612074408
167,-17.937076265185425
168,-17.939081862584565
169,-17.939291776581232
170,-17.941915026176677
171,-17.93646387243297
172,-17.932561592036617
173,-17.947211653781547
174,-17.93951637371108
175,-17.950456980153163
176,-17.93916179261175
177,-17.956511049154557
178,-17.956304326265943
179,-17.953608018036515
180,-17.953778528744106
181,-17.956474694548326
182,-17.958690353951823
183,-17.951911608938293
184,-17.960386324122133
185,-17.952334288789714
186,-17.9569568265725
187,-17.958902529291567
188,-17.961258357471685
189,-17.954833501593175
190,-17.958495903586726
191,-17.959545161541865
192,-17.962848064811368
193,-17.955138343232726
194,-17.967018559328068
195,-17.95383218458298
196,-17.967022594839104
197,-17.962040472160226
198,-17.96208842219006
199,-17.96817560787956
200,-17.96653228767006
