RVB_spsa,RVB_adam,HVA_spsa,HVA_adam
-16.506538143782194,-16.68515382129177,-13.482879851244281,-13.813168563836758
-16.486079241860818,-16.685153821292396,-13.424042197838867,-13.813168563813765
-16.492955494577753,-16.685153821227644,-13.462889157863092,-13.813168563886558
-16.51901231378218,-16.68515382128495,-13.577454351262132,-13.813168563814282
-16.51245958359371,-16.68515382125388,-13.7298195035433,-13.81316856382523
-16.530587314889523,-16.685153821290434,-13.799332399293771,-13.813168563868432
-16.545937772291413,-16.685153821289326,-13.852982436770061,-13.813168563827292
-16.512096478857295,-16.685153821288615,-13.822207947699821,-13.813168563842073
-16.561774429158536,-16.685153821288083,-13.809576641458856,-13.813168563865982
-16.548814281580185,-16.685153821280352,-13.894864428016218,-13.813168563854713
-16.559200926473228,-16.68515382129027,-13.95315112933793,-13.813168563839959
-16.55924525658752,-16.685153821277037,-13.986660575299055,-13.81316856387183
-16.539886220755548,-16.685153821292488,-13.99976623320392,-13.8131685638194
-16.578738589356803,-16.685153821226972,-13.976918206391964,-13.813168563820756
-16.610282905047924,-16.685153821280313,-13.979344009492275,-13.813168563900735
-16.57867670822973,-16.685153821289354,-14.01524214911586,-13.813168563807274
-16.607559600382896,-16.685153821285354,-13.98170233299593,-13.813168563825363
-16.627183294430132,-16.68515382128735,-14.055838200118878,-13.813168563898092
-16.634852199036875,-16.685153821268695,-14.066365332212015,-13.813168563813043
-16.617206007939288,-16.685153821210495,-14.13322501834328,-13.813168563831171
-16.618459721819494,-16.68515382129348,-14.181160783170885,-13.813168563690585
-16.64820751944069,-16.685153821192582,-14.18444806672598,-13.813168563752187
-16.65897848782478,-16.685153821313104,-14.141264600293436,-13.813168563858
-16.648471254444356,-16.685153821261746,-14.225891085042926,-13.813168563887224
-16.662963242488317,-16.68515382125661,-14.401395659762613,-13.813168563642229
-16.649802835078248,-16.737223676887965,-14.238484185366165,-13.813168563854713
-16.6462287651133,-16.737223676887282,-14.749470300255306,-13.813168563870466
-16.674159157744384,-16.73722367682519,-14.755941366716232,-13.813168563715978
-16.674462371123788,-16.737223676882607,-14.722868003394968,-13.813168563785938
-16.681858520620796,-16.73722367685062,-14.78100922763232,-13.813168563752825
-16.667793058542692,-16.737223676886643,-14.810786588078296,-13.813168563800204
-16.69099435654168,-16.737223676885545,-14.802579934745323,-13.813168563701092
-16.70663924422758,-16.737223676885087,-14.827091719424178,-13.813168563820486
-16.676794140764358,-16.737223676884536,-14.790267269091713,-13.813168563825947
-16.718940726555733,-16.737223676877033,-14.799578617698243,-13.813168563709088
-16.70538512580872,-16.73722367688643,-14.869341193751804,-13.813168563751947
-16.679579092054027,-16.737223676873818,-14.89632222008388,-13.813168563771423
-16.753376060648826,-16.737223676888465,-14.956451127303723,-13.98415531772432
-16.831184530416227,-16.737223676824307,-14.98178269577147,-13.984155317703307
-16.855333451141966,-16.737223676877157,-14.98661391457187,-13.9841553177702
-16.89051759823741,-16.73722367688558,-15.03515647454547,-13.984155317703566
-16.823131813185302,-16.73722367688185,-14.934299587766233,-13.984155317714247
-16.956844411271845,-16.73722367688363,-15.169523671612938,-13.984155317754404
-16.970145699185547,-16.737223676865653,-15.178431068848937,-13.984155317715775
-16.96470366890468,-16.737223676808576,-15.140892666429902,-13.984155317728426
-16.9704040663491,-16.737223676888313,-15.209843874798228,-13.984155317751974
-16.984327088718366,-16.73722367679065,-15.256425831499127,-13.984155317742593
-16.95274780452535,-16.737223676908066,-15.257224480236415,-13.984155317726332
-16.97519216665693,-16.73722367685932,-15.227722066405068,-13.984155317756285
-17.008876691158633,-16.737223676853603,-15.28607467378479,-13.984155317709867
-17.033726828500388,-16.787601777979418,-15.292952158926905,-13.984155317709142
-17.00345588056707,-16.787601777979027,-15.340868328595922,-13.984155317784735
-17.04875077279927,-16.78760177791774,-15.361753329144673,-13.984155317697192
-17.031507790520635,-16.787601777975485,-15.344937284688175,-13.984155317714142
-17.046671145887874,-16.787601777942697,-15.340332033475917,-13.984155317782017
-17.04698584306792,-16.787601777978196,-15.378981901080238,-13.984155317702422
-17.036478442339938,-16.787601777977148,-15.327413731394065,-13.984155317719123
-17.05736442053593,-16.78760177797678,-15.450529455358263,-13.984155317582003
-17.06241288502444,-16.78760177797622,-15.62477770571587,-13.984155317641115
-17.051944536244292,-16.787601777968973,-15.690515453915982,-13.98415531774068
-17.035426860512526,-16.78760177797787,-15.76275841026182,-13.984155317773018
-17.08410671826472,-16.787601777965847,-15.695627599886082,-13.984155317533373
-17.123487787366482,-16.787601777979724,-15.771812141292614,-13.984155317739413
-17.106916771636794,-16.78760177791689,-15.842459345699275,-13.984155317753869
-17.13647078304195,-16.787601777969236,-15.943696687768703,-13.984155317607527
-17.106637735607134,-16.787601777977073,-15.841701210632108,-13.984155317676015
-17.13566531278905,-16.787601777973677,-16.025526665638083,-13.98415531764052
-17.148418915220606,-16.787601777975283,-16.10171739563167,-13.984155317689686
-17.136750993902872,-16.787601777957878,-16.144272414959055,-13.984155317592077
